# Yale Bright Star Catalogue, 5th revised ed. (Hoffleit & Warren 1991, CDS V/50), stars to V=5.0.
# HR,RA J2000 deg,Dec J2000 deg,Vmag
1338,64.0067,-51.4867,4.25
1343,65.1025,34.5667,4.93
1346,64.9483,15.6275,3.65
1347,64.4737,-33.7983,3.56
1348,65.0888,27.3508,4.95
1350,65.3883,46.4989,4.85
1355,64.1204,-59.3019,4.44
1373,65.7338,17.5425,3.76
1380,66.0242,17.4439,4.80
1387,66.3421,22.2939,4.22
1389,66.3725,17.9281,4.29
1392,66.5771,22.8136,4.28
1393,66.0092,-34.0169,3.96
1394,66.5867,15.6183,4.49
1396,66.6517,14.7136,4.69
1407,67.1100,16.3597,4.97
1409,67.1542,19.1803,3.53
1411,67.1438,15.9622,3.84
1412,67.1654,15.8708,3.40
1427,67.6404,16.1939,4.78
1437,67.9696,-0.0439,4.91
1444,68.4621,14.8444,4.65
1453,68.3775,-29.7667,4.51
1454,69.1725,41.2647,4.25
1457,68.9800,16.5092,0.85
1458,68.9137,10.1608,4.25
1463,69.0796,-3.3525,3.93
1464,68.8875,-30.5622,3.82
1465,68.4992,-55.0450,3.27
1473,69.5396,12.5108,4.27
1479,69.8188,15.9181,4.69
1481,69.5450,-14.3039,3.87
1496,70.1104,-19.6717,4.32
1497,70.5613,22.9569,4.28
1502,70.1404,-41.8639,4.45
1520,71.3754,-3.2547,4.02
1533,72.4775,37.4883,4.88
1542,73.5125,66.3428,4.29
1543,72.4600,6.9614,3.19
1544,72.6529,8.9003,4.36
1551,73.1583,36.7031,4.78
1552,72.8017,5.6050,3.69
1556,73.1333,14.2506,4.74
1560,73.2237,-5.4528,4.39
1567,73.5629,2.4406,3.72
1568,74.3217,53.7522,4.47
1570,73.7242,10.1508,4.65
1577,74.2483,33.1661,2.69
1580,74.0929,13.5144,4.07
1592,74.8142,37.8903,4.94
1601,74.6371,1.7142,4.47
1603,75.8546,60.4422,4.03
1605,75.4921,43.8233,2.99
1611,74.9825,-12.5375,4.79
1612,75.6196,41.0758,3.75
1617,75.3596,-7.1739,4.81
1620,75.7738,21.5900,4.64
1621,75.3567,-20.0519,4.91
1637,76.6692,51.5978,5.00
1638,76.1421,15.4042,4.68
1641,76.6287,41.2344,3.17
1652,76.1017,-35.4833,4.55
1654,76.3654,-22.3711,3.19
1656,76.8625,18.6450,5.00
1666,76.9625,-5.0864,2.79
1674,76.3775,-57.4728,4.72
1676,77.4250,15.5972,4.82
1679,77.2867,-8.7542,4.27
1689,78.3571,38.4844,4.86
1696,78.0746,-11.8692,4.45
1698,78.3229,2.8611,4.46
1702,78.2329,-16.2056,3.31
1705,78.3079,-12.9414,4.36
1708,79.1725,45.9981,0.08
1713,78.6346,-8.2017,0.12
1726,79.5446,33.3717,4.54
1729,79.7854,40.0992,4.71
1735,79.4017,-6.8444,3.60
1739,79.8192,22.0964,4.94
1743,79.3713,-34.8953,4.83
1744,78.4392,-67.1853,4.83
1756,79.8937,-13.1767,4.29
1762,80.1121,-21.2394,4.71
1765,80.4404,-0.3825,4.73
1770,80.7083,3.5444,5.00
1773,81.1633,37.3856,4.99
1780,81.1058,17.3833,4.99
1784,80.9867,-7.8081,4.14
1788,81.1192,-2.3969,3.36
1789,81.1867,1.8464,4.95
1790,81.2829,6.3497,1.64
1791,81.5729,28.6075,1.65
1810,81.9087,21.9369,4.88
1811,81.7092,3.0956,4.59
1829,82.0613,-20.7594,2.84
1834,82.4333,-1.0922,4.71
1839,82.6963,5.9481,4.20
1843,83.1821,32.1919,4.76
1845,83.0533,18.5944,4.38
1852,83.0017,-0.2992,2.23
1855,82.9825,-7.3014,4.62
1862,82.8029,-35.4706,3.87
1865,83.1825,-17.8222,2.58
1876,83.7050,9.4894,4.41
1879,83.7846,9.9342,3.54
1887,83.7612,-6.0019,4.78
1892,83.8467,-4.8383,4.59
1899,83.8583,-5.9100,2.77
1903,84.0533,-1.2019,1.70
1907,84.2262,9.2906,4.09
1910,84.4113,21.1425,3.00
1922,83.4062,-62.4897,3.76
1931,84.6867,-2.6000,3.81
1934,84.7963,4.1214,4.57
1937,84.7212,-7.2131,4.80
1946,85.3238,16.5339,4.86
1948,85.1896,-1.9428,2.05
1949,85.1900,-1.9428,4.21
1952,85.2108,-1.1289,4.95
1956,84.9121,-34.0742,2.64
1963,85.6192,1.4747,4.91
1983,86.1158,-22.4483,3.60
1995,87.2938,39.1811,4.52
1998,86.7387,-14.8219,3.55
2002,87.2542,24.5675,4.86
2004,86.9392,-9.6697,2.06
2010,87.3871,12.6511,4.91
2011,87.7600,37.3056,4.74
2012,87.8725,39.1486,3.97
2015,86.1933,-65.7356,4.35
2020,86.8212,-51.0664,3.85
2029,88.7117,55.7069,4.99
2034,88.3317,27.6122,4.58
2035,87.8304,-20.8792,3.81
2037,88.1100,1.8550,4.78
2040,87.7400,-35.7683,3.12
2042,87.4571,-56.1667,4.51
2047,88.5954,20.2761,4.41
2056,88.2787,-33.8014,4.87
2061,88.7929,7.4069,0.50
2077,89.8817,54.2847,3.72
2084,89.4988,25.9539,4.82
2085,89.1013,-14.1678,3.71
2087,88.8746,-37.1208,4.97
2088,89.8821,44.9475,1.90
2091,89.9838,45.9369,4.26
2095,89.9304,37.2125,2.62
2102,88.5254,-63.0900,4.65
2106,89.3842,-35.2833,4.36
2113,90.0142,-3.0742,4.53
2120,89.7867,-42.8153,3.96
2124,90.5958,9.6475,4.12
2128,90.4600,-10.5981,4.95
2134,91.0300,23.2633,4.16
2135,90.9800,20.1383,4.63
2148,91.2462,-16.4844,4.93
2155,91.5387,-14.9353,4.67
2159,91.8929,14.7683,4.42
2198,93.0138,16.1306,4.95
2199,92.9850,14.2089,4.48
2209,94.7117,69.3197,4.80
2212,92.5746,-54.9686,4.81
2215,94.4783,61.5153,4.98
2216,93.7192,22.5067,3.28
2219,93.8446,29.4981,4.35
2227,93.7137,-6.2747,3.98
2238,94.9058,59.0108,4.48
2256,94.1379,-35.1406,4.37
2275,94.9983,-2.9444,4.90
2282,95.0783,-30.0633,3.02
2286,95.7400,22.5136,2.88
2289,96.2246,49.2881,4.91
2294,95.6750,-17.9558,1.98
2296,95.5283,-33.4364,3.85
2298,95.9421,4.5928,4.44
2326,95.9879,-52.6958,-0.72
2343,97.2408,20.2122,4.15
2356,97.2042,-7.0328,4.60
2361,97.0421,-32.5800,4.48
2385,98.2258,7.3331,4.50
2387,97.9637,-23.4183,4.33
2414,98.7642,-22.9647,4.54
2421,99.4279,16.3992,1.93
2427,99.8329,42.4889,4.79
2429,99.1708,-19.2558,3.95
2435,98.7442,-52.9756,4.39
2443,99.4725,-18.2375,4.43
2450,99.8196,-14.1458,4.82
2451,99.4404,-43.1961,3.17
2456,100.2446,9.8956,4.66
2462,99.6567,-48.2203,4.93
2470,101.5588,59.4417,4.87
2473,100.9829,25.1311,2.98
2478,100.9971,13.2278,4.49
2484,101.3225,12.8956,3.36
2491,101.2871,-16.7161,-1.46
2503,101.8325,8.0372,4.77
2506,101.9650,2.4122,4.47
2527,105.0167,76.9775,4.55
2538,102.4604,-32.5086,3.96
2540,103.1971,33.9611,3.60
2549,102.7183,-34.3672,4.99
2550,102.0475,-61.9414,3.27
2553,102.4842,-50.6147,2.93
2554,102.4637,-53.6222,4.40
2560,104.3188,58.4225,4.35
2564,103.6612,13.1778,4.65
2571,103.3871,-20.2242,4.83
2574,103.5475,-12.0386,4.07
2580,103.5329,-24.1839,3.87
2585,104.4046,45.0942,4.90
2590,103.9058,-20.1364,4.68
2593,104.0275,-14.0436,5.00
2596,104.0342,-17.0542,4.37
2608,104.0667,-48.7211,4.95
2618,104.6562,-28.9722,1.50
2646,105.4296,-27.9347,3.47
2648,105.7283,-4.2392,4.99
2650,106.0271,20.5703,3.79
2653,105.7562,-23.8333,3.02
2657,105.9396,-15.6333,4.12
2672,105.9737,-49.5839,4.93
2693,107.0979,-26.3933,1.84
2696,107.9138,39.3206,4.90
2697,107.7850,30.2453,4.41
2701,107.5571,-4.2372,4.92
2702,107.2129,-39.6558,4.83
2714,107.9663,-0.4928,4.15
2717,108.3429,16.1589,5.00
2736,107.1871,-70.4989,3.78
2740,108.1400,-46.7594,4.49
2742,112.7683,82.4114,4.96
2745,108.5633,-26.3525,4.66
2746,108.3058,-45.1831,4.89
2749,108.7029,-26.7728,3.85
2762,108.6592,-48.2717,4.76
2763,109.5233,16.5403,3.58
2764,109.1533,-23.3156,4.79
2766,109.1458,-27.8811,4.64
2773,109.2858,-37.0975,2.70
2777,110.0308,21.9822,3.53
2781,109.6679,-24.5589,4.98
2782,109.6767,-24.9542,4.40
2787,109.5767,-36.7342,4.66
2803,109.2075,-67.9572,3.98
2812,110.5562,-19.0167,4.96
2818,111.6783,49.2114,4.64
2821,111.4317,27.7981,3.79
2827,111.0238,-29.3031,2.45
2828,111.4121,9.2761,4.99
2845,111.7875,8.2894,2.90
2852,112.2779,31.7844,4.18
2854,112.0408,8.9256,4.32
2864,112.4492,12.0067,4.54
2874,112.4642,-23.0244,4.85
2878,112.3075,-43.3014,3.25
2881,112.6771,-30.9622,4.65
2890,113.6500,31.8886,2.88
2891,113.6500,31.8883,1.98
2902,113.4496,-14.5239,4.97
2905,113.9804,26.8958,4.06
2906,113.5133,-22.2961,4.45
2922,113.8450,-28.3694,4.64
2930,114.7913,34.5842,4.90
2934,113.9154,-52.5339,4.94
2937,114.3421,-34.9686,4.53
2943,114.8254,5.2250,0.38
2944,114.5750,-25.3647,4.70
2946,115.7517,58.7103,4.99
2948,114.7054,-26.8017,4.50
2949,114.7075,-26.8036,4.62
2959,115.0967,-15.2636,4.94
2961,114.8642,-38.3083,4.84
2970,115.3117,-9.5511,3.93
2973,115.8279,28.8836,4.28
2985,116.1117,24.3981,3.57
2990,116.3287,28.0261,1.14
2993,115.8850,-28.4111,4.59
2996,115.9521,-28.9547,3.96
3003,116.5308,18.5100,4.88
3017,116.3137,-37.9686,3.61
3024,115.4550,-72.6061,3.95
3034,117.0217,-25.9372,4.50
3045,117.3237,-24.8597,3.34
3046,117.0846,-47.0778,4.71
3055,117.3096,-46.3733,4.11
3067,118.3742,26.7658,4.97
3080,118.0542,-40.5758,3.73
3084,118.1613,-38.8631,4.49
3089,118.2654,-49.6131,4.63
3090,118.3258,-48.1031,4.24
3102,119.2146,-22.8800,4.20
3113,119.4171,-30.3347,4.79
3117,119.1946,-52.9822,3.47
3122,119.9338,-3.6797,4.93
3129,119.5600,-49.2450,4.41
3131,119.9667,-18.3992,4.61
3141,120.3054,-1.3925,4.68
3145,120.5662,2.3344,4.39
3149,120.8796,27.7942,4.94
3159,120.0833,-63.5675,4.82
3165,120.8963,-40.0033,2.25
3173,122.1142,51.5067,4.84
3185,121.8858,-24.3042,2.81
3188,122.1483,-2.9839,4.34
3192,122.2567,-19.2450,4.40
3206,122.3721,-47.3458,4.27
3207,122.3833,-47.3367,1.78
3211,122.8179,-12.9269,4.72
3220,122.2529,-61.3025,4.76
3223,121.9825,-68.6172,4.35
3225,122.8396,-39.6186,4.45
3226,122.8579,-42.9872,4.75
3229,123.3333,-15.7883,4.99
3237,123.3733,-35.8997,4.78
3243,123.5121,-40.3481,4.44
3249,124.1288,9.1856,3.52
3270,124.6388,-36.6594,4.45
3275,125.7088,43.1881,4.25
3282,125.3458,-33.0544,4.83
3294,125.6317,-48.4903,4.82
3307,125.6283,-59.5097,1.86
3314,126.4150,-3.9064,3.90
3318,124.6317,-76.9197,4.07
3323,127.5662,60.7181,3.36
3340,125.1604,-77.4844,4.35
3347,126.4342,-66.1369,3.77
3359,127.3650,-44.7250,4.99
3403,130.0533,64.3278,4.60
3410,129.4142,5.7036,4.16
3414,128.8317,-58.0092,4.86
3418,129.6892,3.3414,4.44
3426,129.4112,-42.9892,4.14
3431,130.0062,-12.4753,4.98
3433,129.9271,-29.5611,4.89
3438,130.0258,-35.3083,3.97
3441,130.4304,-15.9433,4.88
3445,130.1567,-46.6489,3.84
3447,130.0733,-52.9219,3.62
3449,130.8212,21.4686,4.66
3452,130.3046,-47.3169,4.77
3454,130.8063,3.3986,4.30
3457,130.1542,-59.7611,4.33
3459,130.9183,-7.2336,4.62
3461,131.1712,18.1542,3.94
3467,130.6062,-53.1139,4.86
3468,130.8979,-33.1864,3.68
3475,131.6742,28.7600,4.02
3477,131.1000,-42.6492,4.07
3482,131.6942,6.4189,3.38
3484,131.5938,-13.5478,4.32
3485,131.1758,-54.7083,1.96
3487,131.5071,-46.0417,3.91
3492,132.1083,5.8378,4.36
3498,131.6771,-56.7697,4.49
3518,132.6329,-27.7100,4.01
3520,132.4487,-45.3081,4.93
3547,133.8483,5.9456,3.11
3556,133.8812,-27.6819,4.89
3569,134.8017,48.0417,3.14
3571,133.7617,-60.6447,3.84
3572,134.6217,11.8578,4.25
3574,134.0808,-52.7236,4.69
3576,135.6362,67.6297,4.76
3579,135.1600,41.7828,3.97
3582,134.2433,-59.2294,4.92
3591,135.0225,-41.2539,4.45
3594,135.9062,47.1567,3.60
3612,136.6325,38.4522,4.56
3613,136.4933,5.0922,4.97
3614,136.0387,-47.0978,3.75
3615,135.6117,-66.3961,4.00
3616,137.5967,67.1347,4.80
3619,137.2179,51.6047,4.48
3624,137.7296,63.5136,4.67
3628,137.0121,-25.8583,4.58
3634,136.9992,-43.4325,2.21
3642,136.4096,-70.5389,4.71
3643,136.2867,-72.6028,4.48
3654,137.7683,-44.8681,5.00
3659,137.7417,-58.9669,3.44
3662,139.0471,54.0219,4.83
3663,137.8192,-62.3172,3.97
3665,138.5912,2.3142,3.88
3682,138.9029,-38.5700,4.94
3684,138.9379,-37.4133,4.62
3685,138.3000,-69.7172,1.68
3690,139.7113,36.8025,3.82
3696,139.0508,-57.5414,4.34
3699,139.2725,-59.2753,2.25
3705,140.2637,34.3925,3.13
3706,139.9433,-11.9750,4.79
3709,140.1208,-9.5558,4.80
3718,140.3733,-25.9656,4.72
3728,140.2367,-62.4047,4.81
3731,141.1637,26.1822,4.46
3733,140.8012,-28.8339,4.69
3734,140.5283,-55.0108,2.50
3748,141.8967,-8.6586,1.98
3749,141.8267,-22.3439,4.69
3751,144.2717,81.3264,4.29
3757,142.8821,63.0619,3.67
3759,142.2871,-2.7689,4.60
3765,142.3113,-35.9514,4.51
3771,143.6204,69.8303,4.56
3773,142.9300,22.9681,4.31
3775,143.2142,51.6772,3.17
3782,142.9863,11.2997,4.97
3786,142.6750,-40.4667,3.60
3787,142.9954,-1.1850,4.57
3799,143.7062,52.0514,4.50
3800,143.5558,36.3975,4.55
3803,142.8054,-57.0344,3.13
3809,143.7658,39.6214,4.81
3825,143.6112,-59.2294,4.08
3827,144.3029,6.8358,5.00
3834,144.6137,4.6492,4.68
3836,144.2067,-49.3553,4.35
3845,144.9642,-1.1428,3.91
3852,145.2875,9.8922,3.52
3856,144.8375,-61.3281,4.52
3858,145.3208,-23.5917,4.77
3862,145.5600,-23.9156,4.94
3871,146.0504,-27.7694,4.79
3873,146.4629,23.7742,2.98
3884,146.3117,-62.5078,3.69
3888,147.7475,59.0386,3.80
3890,146.7754,-65.0719,3.01
3894,148.0267,54.0644,4.59
3903,147.8696,-14.8467,4.12
3905,148.1908,26.0069,3.88
3912,147.9200,-46.5478,4.58
3919,148.5513,-25.9325,4.88
3923,148.7175,-19.0094,4.94
3940,149.2158,-54.5678,3.54
3950,150.0533,8.0442,4.70
3970,151.2812,-13.0647,4.60
3974,151.8575,35.2447,4.48
3975,151.8333,16.7628,3.52
3980,151.9762,9.9975,4.37
3981,151.9846,-0.3717,4.49
3982,152.0929,11.9672,1.35
3990,152.2346,-51.8111,4.86
3994,152.6471,-12.3542,3.61
4023,153.6842,-42.1219,3.85
4031,154.1725,23.4172,3.44
4033,154.2742,42.9144,3.45
4037,153.4342,-70.0381,3.32
4050,154.2708,-61.3322,3.40
4054,154.9338,19.4708,4.79
4057,154.9929,19.8417,2.61
4058,154.9942,19.8406,3.80
4063,154.9033,-55.0294,4.57
4069,155.5821,41.4994,3.05
4072,156.0329,65.5664,4.97
4074,155.2283,-56.0431,4.50
4080,155.5817,-41.6500,4.83
4089,155.7421,-66.9017,4.99
4090,156.4787,33.7961,4.74
4094,156.5225,-16.8364,3.81
4100,156.9708,36.7072,4.21
4102,156.0987,-74.0317,4.00
4104,156.7879,-31.0678,4.25
4110,156.8517,-57.6389,4.66
4112,157.6567,55.9806,4.84
4114,156.9696,-58.7394,3.82
4126,158.7729,75.7131,4.84
4132,158.3079,40.4256,4.75
4133,158.2029,9.3067,3.85
4134,157.8408,-53.7156,4.89
4138,157.5838,-71.9931,4.74
4140,158.0058,-61.6853,3.32
4142,157.7583,-73.2217,4.93
4159,158.8971,-57.5578,4.45
4162,159.3071,-27.4125,4.89
4163,159.3883,-13.3844,4.82
4166,159.6800,31.9761,4.71
4167,159.3254,-48.2258,3.84
4171,159.6458,-16.8767,4.91
4174,158.8671,-78.6078,4.11
4177,159.6879,-59.1831,4.66
4180,159.8267,-55.6033,4.28
4181,160.7671,69.0761,5.00
4196,160.5583,-64.4664,4.82
4199,160.7392,-64.3944,2.76
4200,160.8837,-60.5667,4.57
4205,161.0287,-63.9611,4.82
4216,161.6925,-49.4200,2.69
4222,161.7133,-64.3833,4.85
4232,162.4062,-16.1936,3.11
4234,161.4450,-80.5403,4.45
4247,163.3279,34.2150,3.83
4248,163.4946,43.1900,4.71
4257,163.3733,-58.8533,3.78
4259,163.9033,24.7497,4.50
4273,164.1796,-37.1378,4.60
4287,164.9437,-18.2989,4.08
4291,165.1400,3.6175,4.84
4293,165.0387,-42.2258,4.39
4294,165.1867,6.1014,4.99
4295,165.4604,56.3825,2.37
4299,165.4571,-2.4847,4.74
4300,165.5825,20.1797,4.42
4301,165.9321,61.7508,1.79
4310,166.2542,7.3361,4.63
4314,166.3329,-27.2936,4.94
4325,166.6350,-62.4242,4.61
4335,167.4158,44.4986,3.01
4337,167.1475,-58.9750,3.91
4343,167.9146,-22.8258,4.48
4352,168.1500,-60.3175,4.60
4357,168.5271,20.5236,2.56
4359,168.5600,15.4294,3.34
4362,168.8008,23.0956,4.63
4368,169.1654,-3.6517,4.47
4374,169.5454,31.5292,4.87
4375,169.5458,31.5292,4.41
4377,169.6196,33.0942,3.48
4380,169.7829,38.1856,4.78
4382,169.8354,-14.7786,3.56
4386,170.2842,6.0294,4.05
4390,170.2517,-54.4911,3.89
4392,170.7067,43.4828,4.99
4396,170.8029,-36.1647,5.00
4399,170.9812,10.5292,3.94
4402,171.1525,-10.8594,4.83
4405,171.2204,-17.6839,4.08
4418,171.9842,2.8561,4.95
4432,172.5788,-3.0036,4.77
4434,172.8508,69.3311,3.84
4450,173.2504,-31.8578,3.54
4460,173.6904,-54.2642,4.62
4467,173.9450,-63.0197,3.13
4468,174.1704,-9.8022,4.70
4471,174.2371,-0.8239,4.30
4494,175.0533,-34.7447,4.70
4499,175.2233,-62.0900,4.94
4514,176.1908,-18.3508,4.73
4515,176.3212,8.2583,4.85
4517,176.4650,6.5294,4.03
4518,176.5125,47.7794,3.71
4520,176.4017,-66.7286,3.64
4522,176.6283,-61.1783,4.11
4523,176.6296,-40.5006,4.91
4527,176.9963,20.2189,4.53
4530,177.0596,-66.8147,4.72
4534,177.2650,14.5719,2.14
4537,177.4213,-63.7883,4.32
